Date,Close/Last,Volume,Open,High,Low
06/29/2021,$241.85,2089618,$241.26,$243.46,$241.01
06/28/2021,$241.26,2063002,$240.9,$242.24,$239.7806
06/25/2021,$240.55,5987506,$240.01,$241.74,$239.79
06/24/2021,$239.84,2141945,$239.44,$239.87,$238.32
06/23/2021,$237.31,2246566,$236.87,$237.97,$235.84
06/22/2021,$237.21,2901430,$234.49,$237.86,$233.88
06/21/2021,$233.77,3049654,$231.41,$234.04,$231.25
06/18/2021,$230.53,4481436,$229.86,$231.37,$228.01
06/17/2021,$231.22,2826597,$230.55,$232.93,$229.825
06/16/2021,$231.26,2767610,$232.7,$233,$229.5556
06/15/2021,$232.57,2518099,$233.01,$233.01,$230.75
06/14/2021,$233.07,2904357,$233.16,$233.5,$231.55
06/11/2021,$232.94,2510167,$231.79,$232.9799,$231.79
06/10/2021,$231.66,2579717,$231.66,$233.6999,$231.3975
06/09/2021,$231.94,3372879,$234.6,$236.7999,$231.89
06/08/2021,$235.1,3441684,$234.27,$236.36,$232.55
06/07/2021,$230.89,2221783,$231.5,$232.66,$230.39
06/04/2021,$231.34,3085280,$230.2,$231.61,$228.71
06/03/2021,$229.18,3155379,$228.34,$230.23,$227.01
06/02/2021,$228.38,3331509,$226.41,$229.14,$226.15
06/01/2021,$227.27,3426365,$227.56,$228.79,$226.05
05/28/2021,$226.92,2632555,$228,$228.35,$226.18
05/27/2021,$227.37,6623131,$227.93,$228.84,$226.05
05/26/2021,$227.11,3186796,$226.17,$227.95,$225.99
05/25/2021,$225.3,4103005,$225.55,$227.27,$223.26
05/24/2021,$225.41,3820970,$226.34,$228.5,$225.33
05/21/2021,$225.09,5084769,$222.21,$227.08,$221.86
05/20/2021,$221.79,7086307,$218.28,$222.8,$217.07
05/19/2021,$219.01,13378670,$210.31,$219.82,$209.8
05/18/2021,$206.43,4794945,$211.21,$211.68,$206.21
05/17/2021,$210.02,2580897,$212.84,$213.64,$209.36
05/14/2021,$211.16,2650290,$210.21,$212.26,$209.43
05/13/2021,$208.61,3134106,$204.22,$210.1339,$203.89
05/12/2021,$202.96,3857277,$207.96,$208.68,$202.76
05/11/2021,$209.24,3297292,$212.52,$212.76,$206.95
05/10/2021,$214.03,3092693,$215.51,$217.39,$213.72
05/07/2021,$214.71,2298522,$213.29,$215.39,$212.81
05/06/2021,$213,2225970,$213.66,$213.915,$211.94
05/05/2021,$212.41,1639370,$212.65,$213.66,$211.68
05/04/2021,$211.61,2203468,$209.61,$211.84,$209.1
05/03/2021,$211.28,2249691,$209.18,$212.82,$208.82
04/30/2021,$207.26,1802061,$206.21,$208.15,$205.98
04/29/2021,$207.38,1884920,$206.12,$208.41,$205.77
04/28/2021,$204.46,1598814,$203.93,$205.25,$203.44
04/27/2021,$204.36,2260127,$204.22,$205.33,$203.31
04/26/2021,$203.63,2675671,$205.86,$206.02,$202.85
04/23/2021,$206.01,2444854,$205.94,$206.8,$203.9231
04/22/2021,$205.57,2499473,$207.28,$207.645,$203.64
04/21/2021,$206.77,2837188,$207.24,$208.41,$206.3
04/20/2021,$207.27,2089772,$208.91,$209.49,$206.43
04/19/2021,$208.65,2924543,$209.49,$210.86,$208.25
04/16/2021,$208.55,4342573,$206,$209.49,$205.83
04/15/2021,$205.76,3370288,$206.02,$206.21,$203.53
04/14/2021,$205.71,2171319,$204.28,$206,$203.03
04/13/2021,$204.94,2393412,$205.56,$206,$203.51
04/12/2021,$205.1,3191315,$205.28,$206.35,$203.48
04/09/2021,$205.36,2900494,$204,$205.67,$203.5401
04/08/2021,$203.46,3032635,$204.35,$204.81,$202.42
04/07/2021,$204.45,2100353,$205.75,$206,$204.08
04/06/2021,$205.43,2494866,$204.4,$207.3837,$202.95
04/05/2021,$205.35,2833229,$202,$205.8,$202
04/01/2021,$200.72,2730249,$198.14,$201.47,$196.36
03/31/2021,$198.07,3556624,$200.04,$201.33,$198.03
03/30/2021,$199.65,2810804,$198.08,$201.36,$197.61
03/29/2021,$198.21,3231777,$200.09,$201.96,$197.51
03/26/2021,$200.95,6046090,$194.3,$201.23,$194.03
03/25/2021,$192.7,3444737,$188.09,$193.37,$187.67
03/24/2021,$188.28,2489682,$188.91,$189.46,$187.38
03/23/2021,$188.92,2920433,$187.77,$190.79,$187.43
03/22/2021,$188.04,3952385,$187.1,$190.38,$186.7444
03/19/2021,$187.55,7745198,$179.89,$188.3,$179.63
03/18/2021,$179.61,2859316,$177.24,$181.15,$176.68
03/17/2021,$178.4,2929271,$179.505,$179.66,$177.87
03/16/2021,$180.21,3437320,$179.96,$180.69,$178.12
03/15/2021,$181.1,3454085,$180.44,$181.79,$178.57
03/12/2021,$180.01,2441940,$179.9,$180.35,$178.56
03/11/2021,$179.32,3045164,$179.15,$180.09,$177.4
03/10/2021,$178.58,3314829,$179.97,$181.63,$178.09
03/09/2021,$179.18,3752363,$178.32,$180.74,$177.195
03/08/2021,$176.87,4558581,$175.27,$178.47,$173.6
03/05/2021,$172.61,6008115,$170.28,$174.98,$167.05
03/04/2021,$169.82,7111686,$172.37,$174.61,$166.825
03/03/2021,$173.61,8285311,$175,$176.87,$172.59
03/02/2021,$173.49,22090540,$188.01,$193.58,$172.17
03/01/2021,$186.09,3683533,$185.95,$187.5799,$184.85
02/26/2021,$183.44,4340375,$186.15,$186.83,$182.1808
02/25/2021,$185.08,4355641,$188.52,$190.3,$184.58
02/24/2021,$187.08,3738358,$186.02,$187.73,$184.3
02/23/2021,$186.36,2828116,$188.09,$188.73,$184.11
02/22/2021,$188.99,2152618,$188.12,$190.4064,$187.62
02/19/2021,$188.82,3120052,$191.95,$192.45,$188.36
02/18/2021,$191.41,2983459,$188.27,$191.56,$188
02/17/2021,$193.6,3721565,$189.2,$194.215,$189.1
02/16/2021,$190.59,2500270,$191.14,$192.575,$190.15
02/12/2021,$191.43,1821753,$191.05,$191.87,$190.2
02/11/2021,$190.41,1862266,$192.04,$193.17,$190.34
02/10/2021,$192.44,2713545,$193.89,$194.45,$190.12
02/09/2021,$194.29,2868934,$194.13,$196.25,$193.89
02/08/2021,$193.95,3076353,$192.34,$194.48,$190.49
02/05/2021,$188.86,2218864,$189.49,$190.33,$187.89
02/04/2021,$188.59,2309456,$185.87,$188.74,$184.5539
02/03/2021,$185.11,2135438,$185.19,$186.93,$183.695
02/02/2021,$185.59,2920489,$185.5,$189.04,$185.18
02/01/2021,$183.57,2637302,$182.18,$185,$179.6801
01/29/2021,$181.17,3612280,$182.12,$183.5,$180.26
01/28/2021,$183.58,3965207,$177.93,$185.42,$177.76
01/27/2021,$178.28,6985860,$187.61,$187.7,$176.82
01/26/2021,$187.7,3463602,$190.11,$190.56,$186.67
01/25/2021,$190.15,3423911,$191.56,$193.11,$189.23
01/22/2021,$191.91,3257239,$190.9,$192.38,$189.4757
01/21/2021,$191.27,4586624,$190.1,$194.09,$189
01/20/2021,$188.3,3443232,$188.5,$188.7,$184.54
